"scenario","sex","age_lower","age_upper","ave"
"1","F",0,4,0.0955547055612571
"1","F",5,9,0.112700823656574
"1","F",10,14,0.0966830119649534
"1","F",15,19,0.0871685863717363
"1","F",20,24,0.100897562235462
"1","F",25,29,0.099826768281617
"1","F",30,34,0.0886750849901693
"1","F",35,39,0.071258424716095
"1","F",40,44,0.0667834984769233
"1","F",45,49,0.0643843824700458
"1","F",50,54,0.0500190685980404
"1","F",55,59,0.0378759462943268
"1","F",60,64,0.0281721363827991
"1","M",0,4,0.111912574482442
"1","M",5,9,0.112750812426287
"1","M",10,14,0.100720915915878
"1","M",15,19,0.0916047681095612
"1","M",20,24,0.0887794649996767
"1","M",25,29,0.119410837094015
"1","M",30,34,0.0870331544622148
"1","M",35,39,0.0616595192843927
"1","M",40,44,0.0553210992559563
"1","M",45,49,0.0622986243750285
"1","M",50,54,0.0468732012818922
"1","M",55,59,0.0362146041135499
"1","M",60,64,0.0254204241991062
"2","F",0,4,0.0910306676394948
"2","F",5,9,0.103774297987732
"2","F",10,14,0.10629155517049
"2","F",15,19,0.0943350604934203
"2","F",20,24,0.0910477293384536
"2","F",25,29,0.0998618051785135
"2","F",30,34,0.0822946790528182
"2","F",35,39,0.0738558825128201
"2","F",40,44,0.0642640970161168
"2","F",45,49,0.0750200417714686
"2","F",50,54,0.0470127704972168
"2","F",55,59,0.0425339727850075
"2","F",60,64,0.0286774405564474
"2","M",0,4,0.102228129281201
"2","M",5,9,0.101222168642052
"2","M",10,14,0.106158706896388
"2","M",15,19,0.114350850741455
"2","M",20,24,0.0920907518599985
"2","M",25,29,0.0971813094714437
"2","M",30,34,0.0913813510026626
"2","M",35,39,0.0656036311975851
"2","M",40,44,0.0585705696122681
"2","M",45,49,0.0591914213229848
"2","M",50,54,0.0414880358977506
"2","M",55,59,0.0434252208029947
"2","M",60,64,0.0271078532712155
"3","F",0,4,0.0890421961612429
"3","F",5,9,0.0978191622473081
"3","F",10,14,0.0905897315475354
"3","F",15,19,0.094398127357515
"3","F",20,24,0.0989210023230914
"3","F",25,29,0.0977991994304827
"3","F",30,34,0.106454526028794
"3","F",35,39,0.0790316834013806
"3","F",40,44,0.0662894185643912
"3","F",45,49,0.0580993044438122
"3","F",50,54,0.0506187901870243
"3","F",55,59,0.0440183996151416
"3","F",60,64,0.0269184586922812
"3","M",0,4,0.105508250491776
"3","M",5,9,0.110516207247054
"3","M",10,14,0.119334477450297
"3","M",15,19,0.0853103157064428
"3","M",20,24,0.0878275345151242
"3","M",25,29,0.0854183258786948
"3","M",30,34,0.104199579455442
"3","M",35,39,0.0749008543572841
"3","M",40,44,0.0761475494959462
"3","M",45,49,0.0518029004412136
"3","M",50,54,0.0433010561563188
"3","M",55,59,0.0301639515091637
"3","M",60,64,0.0255689972952426
